S.No,Comments,Label
518,dani kanna mundu gym lantivi join aiyi slim avali apudu try cheyochu evanni,non-hate
520,dantha prashant kishor plan trs valle malla reddy meeda attack chesinru sympathy kosam kavalane revanth reddy ni blame chesthunnaru inthaku mundu srinivas goud meeda daadi chesaru ani drama chesaru ippudu malla reddy vanthu,non-hate
522,kinda paddakuda meeku emkaledu,non-hate
524,bjp trs iddaru dosthlu le bayatiki ivanni dramalu,non-hate
525,edhena manam echey goiram kcr non sense,hate
527,cheppedhi em lekapoina ha hm ani anna parledhu vallatho matladali anthee,non-hate
528,phone cut chesthey inka yavaritho mataladestham ani ami leka poina chepu chepu ani rod avtharu edhi fact,non-hate
529,dharani badha padthunte naku nachatle e videos vdu,non-hate
531,bjp strong fight chestundi good job jai telangana jai bjpmurkapu palanu tiseyandi,non-hate
533,chala good newscheppavu anna kcr ni lopaleyandi kaleswarm project katti chalu andaru potaru kcrktrhareesh rao andru potarutrs party ne vnda du soniya gandhirahul gandhi ne vodalle modieka kcr familyyentha,non-hate
535,madam sigupaduthundhi emaina guthochintlu undhi,non-hate
536,meru battalu vesykovadam avasarama ra,hate
537,edhe meeru ruling party valani target chesunte ani media channels vache valu,non-hate
538,ktr chaala manchi gah hyderabad it ni devlope chesthunnaru,non-hate
539,modi valla desam religion anni kottusasthundhi,hate
540,rahul gandhi and lokesh pappu vallu,hate
541,jagananasainyamfromchatla,non-hate
542,zin ping gadini corona vachi pothe anni set auvtai,hate
543,rey shaik amar mee muslims ki ucha padthadhi bjp ante anduke prathi oka muslims bjp ki against ga untaru mee muslims andaru okate unity untaru same mee laga maa hindus alochisthe,hate
544,chillar party lu anne okkatyna modi ji ni next pm modi ji yogi baba ni,hate
545,deniki paniki radu nithish become a chapraci to lalus kotubham,hate
546,kim mama enter ithe war one side ea ega,non-hate
547,​yuddham vadhu please for lokham lo shanthi vunchadhi,non-hate
548,na bochulo tv news hmtv fake vedio,hate
551,vaadu taagi vunnaduvaadiki entha cheppina kooda ardam kaadu,hate
557,jagan oka pandi kukka gadu ap ni sankanakinchadhu,hate
559,jagan oka erri puku gadu vadu vadi modalo paripalana,hate
564,megastar antey adi em expression ra babucomedyactiondialoguesdance ayithey ika cheppoddu,non-hate
566,ma ntr anna medhey memes chesthava ninnu origikichi dengutha ee post delete cheyakunte,hate
569,bonda uma oka porambokuvadu,hate
570,karan johar oka panikirani vedava manchi roles anni chetha actress ee ichi movie ni nasanamchestharu,hate
572,bonda uma kukka esaga mafia king,hate
575,ni pellam puku denugutha ma anna annavu ante,hate
576,oka ammai vi ayundhi illu clean chesthunavu ani complain chesthava siggu techuko,hate
577,kajal oka bitch naku modda dani notlo pettali anni vundhi,hate
578,ee kalam ammailu ki dabbuli vunte chaalu anukuntaru,non-hate
579,oka ammai vi vundhi natho argue chesthava puku mosukoni inti panulu cheyi,hate
580,samantha oka trigubothu lanja chai lanti mogudu vadilesindhi,hate
581,jai kodali nani meru oka dynamic leader,non-hate
582,nen pedda payalu vunna ammailinu dengi bore kotudhundhi iamcomingforskinnygirls,hate
583,desanaki oka nehru oka vallabahi patel vundali kani manaki oka shah inka modi lanti vallu dorikaru,hate
584,pichi puku kukka na meddha nunchi leyi,non-hate
585,ee video chusintarvatha mee meeda respect perigindi,non-hate
586,ee ammai chala bagundhipade pade chudaalinipistundhi,non-hate
589,tickets rates thagginchaaliappudey janaalu theatre ki vastaaru budget peruguthondhantey dhaanikkaranam producers e heroes budget north indian heroines valla staff ni mepaali ivvanni thadisi mopodavuthunnayi,hate
590,hero lu remuneration taggisthe dil raju rates penchi collections motham mingesthadanta…funny fellow,hate
591,telugu cinema lu content takuva buildup ekuva free ga download chesi chustam free ga,hate
592,first ganesh anna chesina appulu and bounce iyna check lu clear cheyi,hate
593,bandla garu miru cheppindhi correct ithe condom ni k petti kontava dhenikaina oka limit untadhi bandla garu,hate
594,literacy rate unna kerala lo ne janalu gorrelu la unte migilin rashtrallo unna janalu paristhiti emito i feel ashamed being part of this type of public,hate
600,allu arjun cinema ki pranam esatadu,non-hate
604,sir arun kumar garu meeku hrudayapurvaka namaskaramulusir nenu kuda kapil chit lo chit one l vesanu chit purti ayipoyindinene kakunda ma brother cheta friends cheta kuda veyinchaanubut ippariki amont ivvatam leduamont adigite danilone fixid deposit cheyyamantunnaru consumer court ki velte baguntundaplz salaha istarani aasisunnanu,non-hate
605,more than crore deposits in margadarsi … not even one depositor complain … nekenduku ra … go and talk about babai,hate
606,soolu master of ap goda meda pilli,hate
607,dramoji pedda ap ni nasamchesina vallalo veedu no,hate
608,nee knoledge motham okka kulam okka partini meeda padi edavadanikee saripoindi vaallu nee intivaalani edina chesinaara durmargula panini divert chiiyadamkosam screen meedaki osthavu karma nuvve alochinchuko undavalli,hate
609,rajasekhar reddy garu kadapa lo acres thesukoni assembly lo gola zarigina tharuvatha assined lands return echharugada appudu dhonga thanam chesi return evvata correct gadugada dheniki mereemantaru,hate
610,vaalla chetilo vunnadi atyunnata vyavasta veellu asale brokers inka vadakam ela vuntundo chuseru ga,hate
611,mari neethulu endhuku ra yadhava collection chasukoni galichanu anavu mari u are not law obedieing person sreeranga neethulu apu,hate
613,ne okkadiki nyayam jarigindi kaabatti ysr neku devudu nuvu o pathi wrathavi,hate
614,sollu apara re nee bochu telivi tetalu andhra pradesh bagu kosam cheyyara,hate
615,siggu neethi leni,hate
617,jagan dobbindi kanapadada neeku atineetimantuda,hate
623,comments chadivi masthu enjoy chesthunna nenaithe,non-hate
625,baga kastapaddav bro edit ki good keep it up,non-hate
626,deenemmaa dabbulu unte darinapoye danaya tho cinema tiyyachu ani telisindi,hate
627,bro vaadi height entha bro sampu kante comedy ga vunadu,hate
628,veedevado grahanthara vasi kappa la vunnadu,hate
629,edi kanna sampurnesh babu melu kadha ra babu expression baaga esthadu edu mv motham okatey expression,hate
630,asalu aa mukham yendhayyaa kaneesam manishi laa koodaa ledhunag mahesh akhil tharuvaatha antha andhagaadini anukunnaadaa yendhi saamy,hate
631,to be frankly host kante chay chaala humble ga react ayyaru really love his nature,non-hate
644,aploasalucriminalskuvotlu vesinaapjanalaku√ sigguledhufirstaploundi ycppolicestationaploasalu policevarulayrunextlo untundiappolicevariki,hate
645,asalu criminals ku votlu vesi na janalaku sigguledhu first,hate
650,getup srini anna superbmiru ravadam chala santhosham,non-hate
654,prajalu question cheyanantha varaku politicians mararu politics marav the great ap people,hate
658,e video chusina tarvata ilanti manchi manushulu untara ani chala santhosham anipinchindi,non-hate
660,e kurma bharataswatantra desaniki nizamaina geept ichchavu anna nuvvu desamloni prathivaadu garvapadela vundi,non-hate
664,ettaa teesaru bhayyaacinema ni writingperformancemusicdirection everything is just classicthe best love story ive watched till no,non-hate
665,nag sir la natural ga evaru matlada lerunag sir super,non-hate
666,nuv chesthe cinema appadam aithadi saaar,hate
667,nuvvu chesunte flop ayyedemonani naa doubt,hate
670,manchi pani iyendi neku rakapovadam,hate
672,em manishulu ra miru bhimbisara manchi movie petukonie movie evaru chustaru ra nag,hate
678,e rashtraniki jarige prathi anyayam gurinchi niswardhanga matlade ekaika vyakti meere saar,non-hate
679,ma city lo every km lopala wines vnayi last years nundi licences ela padithe alaa evhesaruiast elections lo tdp ki vote vesinanduku nenu chala badhapadatananu,hate
680,me knowledge ku salute sir me lanti vallu ilantivi appudappudu media mundi cheppandi,non-hate
683,geniune banner and andharu chala hardwork chestharu,non-hate
684,meeru cheppindi nijam chesaru hanu garuaa nijaanni nen e roju theatre lo chusanu no mobile light was on during the movie timekudos to u,non-hate
685,em confident sir movie eeroju chusa meeru movie gurinchi cheppindhi chala thakkuva sir movie extraordinary ga undh,non-hate
686,vishal chandrashekhar aa bgm endhira saami edipinchesaav,hate
687,hanu raghavapudi love story ante super immersive ga untadi,non-hate
688,super comidy mi cinima hit kavali,non-hate
689,ery pappa la tho comedy very pappa la uanttadhi dhodhu dhodhey,hate
693,ycp vunnatha varaku andhrapradesh paristhi enka diga jaaripotaadi vaalu leaders kaadu maha vedava lu okarini minchina varu okaru,hate
694,shem gari manasu doche untadu goratla madhavudu promotion confirm deputy shem poste,hate
695,goppa goppollu ap nundi parliament ki vellarumaa telangana chala betteranna maa telangana lo dikkumalina video samskruthi inka rale,hate
699,elanti valanu encourage cheyadam media valu tappu veeri mida government charyali tisukovali naku telisi jatakalu emi vundaavu ani medhavlu chala mandi chepparu public nu cheating chestunnaru,non-hate
700,miru eppudu chanipotharu swamy,hate
702,yogi cinemaa muhurtham pettaduu adi flop avuddani teliyadu raa maidapindii,hate
703,babu gogineni sirveedu inka marala please evarikina choopinchandi please,hate
704,mundhey potharu ani telsinapudu muhurtham pettina yogi mve flop ani vaallaki cheppadam nek telidha,hate
705,cheating cheyadam kante coolie pani chesukoni bratikite chala happy ga vuntundi mi lanti vari matalu mudhanammakalu vundevaru nammutaru,hate
708,mouli anna content vere level,non-hate
709,tammi nuvvu benz car kone stage ki asthavneelo a kasi n talent rendu unnayi all d best,non-hate
710,best laddu lags pilla award goes to mouli mama,hate
711,bro part cheyandi bro chala rojula taravata baga navukunanu,non-hate
712,nenu ippudu hospitallo vunna nevalle navvi navvi chanipoyanudoctor treatment chesthunadhujust kidding,non-hate
716,chillara vedhavalu ruling and ruined the state andhrulu andhuly enjoying for their overenthusiastic attitude sani dapurinchina rashtram,hate
723,eppatiki oka times chusa kavacchu ee scene kani prathisari adhe feel adhe goosebumps raviteja acting ki aa voice lo base ki rajamouli direction ni dominate chesina one and only hero mass maharaja,non-hate
724,nijamga chala natural comedy idi venu madhav gaari acting super,non-hate
725,venu madhav lanti comedy evaru ceyyaru i am very very missing venu madha,non-hate
736,saar k bayam chicchukocchindi anduke peg esukoni vachhi loda loda notiki vacchindi vagutunnadu,hate
740,intaki rahul evadabba sir indirect ga congress rahul gandhi ki hint istunda kalsipodamani,non-hate
742,blockbuster hit aindhi movie nikhil saab acting excellent bollywood lo already dhummu leputhondhi,non-hate
743,movie lo content chala bagundi evvadu apaledu movie ni dilraju kuda,non-hate
744,dil raju cheedapurugu tollywood ki tollywood karan johar ee dil rajuravi teja krack movie ni kuda elane tokkesadu,hate
745,nikhil annaki ye saport lekunda mass hit kottaadu movie maathram super,non-hate
748,karthikeya movie is block buster and story oriented karthikeya movie ki screens ivvakapote next nunchi dilraju movies anni boycott cheyyali,hate
749,dhil raju manchi cinemal ki alaane chesthaadu last time krack movie ki alaa chesaadu appudu krack yegisi yegisi thannindhi eppudu karthikeya dhorlinchi dhorlinchi thannuthundhi so anni musukoni manchi movies ni encourage cheyyi,hate
751,nikhil ni support chyyandi manchi manchi scripts meeda work chstnnaru,non-hate
752,dil raju cinema ban chestam from degree college group students and antha tamil rockers paniki malina rajuga,hate
753,dilraj pani aiepoedi enka selav enka anni rojulu bye bye ankul,hate
756,nuvvu nijamgaa nippu the voice of truth anipinchaav thammi,non-hate
763,evala takkuva theatres se repu chudu double avtay mamuluga ledu movienext level gopichand sahasam movie reference undi,non-hate
770,ilanti panikamalina vallanu interviews cheyakandi plz,hate
772,ilaa sollu cheppi kaanichestunnadu,hate
773,mottanaki neeku correct mogudu badaleswari ya,hate
774,komatreddy garu telangana kosam padavini rajinama chesi niraahaara deeksha chesina leadrs lo okkaruevery one respects him,non-hate
777,rk garu mee questioning bagundhi but cm ni or central minister ni adagalsina questions aduguthunnaru overall its a very good discussion my vakheel saab thopu ayana maata muchata vignaanam chaala superb way to go my mla,non-hate
794,thq sirchalla chakagaa chayparuu,non-hate
795,krishnarao garu episode marichipoyara viveka resighnation kcr bypole time enduku e dabba kaburulu,hate
796,waste interview vunnappudu oka maata lenappudu okamata,hate
797,kvp ki telusu jagan wtlanti vaado anduke doiram jarigaadu karma emitante ap prajalake teliyatam ledu,hate
798,jagan ni poguthunnava leka mingutunnavaindirect ga jagan secret lu ani cheptunnav,hate
812,minority ayithe vadhileyaala vaallemayina nawab laa vaallakemayina kommulu molachaaya vaallemayina swargam lonchi oodipaddaara minorities ki ee special treatment endhiraa,hate
813,note this point minorities kabatti vadileyandi ranakeeyanakula ilanti appeasements valle ivaala minorities jaripe dhamana kanda lo majority people bali avtunnaru,hate
814,absconding nayeem and madhav reddy relation gurinchi prathi mata fake cheputhunnadu telusu kani abadham cheputhunnadu,hate
815,paritala nu nuvve sampinavu raa nennu gaali vaana devudu sampeedu,hate
816,assaminchani suryudu ma paritala ravanna champi chindhi nuvu nikodukey andukey ni maranam uhathitham,hate
817,niku sambhamdam leda anduke ni shavam kuda dorakakunda chesadu god,hate
818,mahanu baava ela kannavayya ee basmasurani,hate
820,evaru adigaruu raaaaaaaa ninnu,hate
823,rayalaseema simham paritala ravi telugurashtrala devudu ntr but family members of both have utterly failed to carry the legacy of these both in their respective range and categories,hate
827,johar ravanna ilanti lavada politics ki meelanti powerful leaders asalu unte okkokadu darilo undevadu,hate
828,bro mee anchoing chala chal chala decent gaa untundhi,non-hate
830,ravi anna oudi ounte nani vamsi anil kumar ambanti lanti vaalu noru lepevaru kaademo,hate
832,mohan babu oppukunna oppukokapoyina chiranjeevi peddankanni vachchina gouravam m taggipodu,hate
834,maa nagababu garu is great person devudu eppudu meethone vuntaru sir,non-hate
835,chala baga cheparu nagababu sir help chesena chepukoru meru brothers kosam baga cheparu,non-hate
836,rajakeeyam lo nenu miku full opposite kani miru mee brothers gurinchi chepthunte na kallu chemarchayi nagababu garu really love you,non-hate
839,rk garu neku interview cheyadam rakapoty miskuni veray vallaku chance evvandi niku respect evvadam teledu,hate
840,papam suri ki chala badha vundemo anduke ane sarlu attack chesadu,hate
841,sethamma vakitlo serimalle chettu nenu th lo unnappudu vachindhi nen times chusna ade the best movie nadi,non-hate
842,anduke meeku devudu jabardasth show iccharu varun tej ki anni hits iccharu,non-hate
843,orange movie epatiki chusina kothaga untadhi ndhuko thelidhu i love to watch dat movie,non-hate
844,guruvu garini kalavalekapoyanu ane chinna baada kakapothe aayana puttina roje nenu puttanu naku adoka santhosham dasari garu vunte ey maa elections kani kotha talent vunnavalani kani gurthinchi avakaasham ichevaalu,non-hate
845,guruji meeku evvaru saatiraaru johar dasari gaaru,non-hate
846,dnr sampadinchalani anukunte today ciniema field lo ewaru sariporu mahanubavudu daring man,non-hate
847,manchi manasu havabhavalu ela kavalante ala palikinche kalamathalli mudhuu bidaalu druvatharalu nela ralaru andhulo oka mudhuu bidaa dhasari garu,non-hate
848,cinima vallu mottam e episode chusi aena buddi techukondi tickets rates vishayam lo,hate
849,dnr still old school kalam tho marakapote evaru aina kala gharbham lo kalisipotaru,hate
850,na guruv gariki padabhi vandananalu,non-hate
852,ni bondha ra ntr records badhalu kottava,hate
853,marri nevvu am i pekavu,hate
863,mallanna tappudu darlo vellaku oka melu jarigetappudu konni vishayalu oppukovali mana paruvu manam teesukundam entavaraku correct kcr bathroom biryani gurinchi telisi kuda chala mandi peddalu niraharadeeksha ni munduku techaru kada jarige melu telusukoadi andariki manchidi,hate
864,ambedkar gari gopathanam gurinchi chepaka ne carector nachindhi mallana good,non-hate
865,antha vadaina kani awaru aina sare antha dabbu una time osthe anthe only good karma can help you in delaying things anthe,non-hate
870,ntr film same lakshmi garu chepinattu tisaru real story am extra topics add cheyaled jai rgv ntr story mothm lakshmis ntr lo poorthi ga chupincharu jai ntr,non-hate
873,devudu lanti manishini cheda dobbataniki anni times kalavataniki try chesava niku dandam thalli god lanti manishi life history lo oka mark laga unnav,hate
875,mahanati nuvvu swardaparuraluvianta gowravam unte kuturilamarochukaani kattukonna mogudini vadhilesavumodati mogutu kooda vadelesavswardam kosam ntr garini mabbipatti manchidanila natinchi mosamchesav,hate
876,sir meru elanti varitho interview cheyaddu,hate
879,asalu nuvu kothavallani baga support chestavu anna ni movies baga adali,non-hate
880,interview chesina murthy gariki naa abhinandanalu chaala samskaaram ga chesaru,non-hate
882,ee madya kaalamlo vochina films lo naaku idhi baaga nachindi,non-hate
883,e movie gurinchi okkadu negative ga matladina vaadu terrorist ayyi undali,non-hate
886,kcr vi anni commission padhakaale kaaleswaram praject kcr ku atm kaaleswaram praject etthipothala padhakam kaadhu thippipothala padhakam raithu bandhu raabandhula bandhu vandhala ekaraalu unnavaariki raithu bandhu esthunnaadu kcr,non-hate
888,nv sakkaga matladutunava ktr trs lo unnavallu evadu sakkaga matladuthunduuu,hate
889,telangana vachinde telangana students chanepovadam vallameto kadu trs,hate
890,sollu vagadam ee sollu brothers komatireddy rajagopal garu nd co bro alavatu ktr very dynamic nd briliiant leader in india,hate
891,doralu antene chathagalu west doralu siguledhu kkr and kcr,hate
893,rajgopal reddy sir miru super,non-hate
894,trs donga party,hate
895,rajagopal neeku ethics levu,hate
896,ktr baluputo matladutundu,hate
897,aagandi ktr garu mundundi musalla pandaga,hate
898,arey ktr motham dochukondira me family nasnam aipotharu ra sochi andi homa lu cheyandi… me family nasnam aipotharu,hate
899,hloo ktr garu meru rajagopal reddy garini peru petti piliche antha thopa nuvv,hate
900,nuvu am speaker ra babu,hate
901,ktr gudha ninda pogaru,hate
902,mukuu neelaku raayi raja,hate
903,oreymeepartychattaparty trs,hate
904,ttr dongal trs pata leaders,hate
905,jai ktr anna,non-hate
906,ktr nuvu ni party lo valasalu avuthai jagatha mundhu mundhu nuvu ni thandri mathatrame migultharu nunu chepindhi jaragakapothe voche election lo nike na votu,hate
907,rs revanth batch chi chi congress ki deposit kuda radhu,hate
911,devi nagavalli oka dogga munda media medha cheddha peru testhundhi,hate
913,chinna herola mida chinna cinemala midane mi prathapamdevi is now playing lady victim card against viswak annawe all public should support himstay strong annawe are therewe will make ur movie to go well,non-hate
915,tv moddalo ethics nijathyi ni memu pattinchamu,hate
916,devi anni adugu bed room lo evaru first,hate
919,lanja rhea thana acting appi nijam opukvaali thanu thana moddalo acting,hate
920,rhea dabbu kosam mosali mahesh bhatt modda chickindhi,hate
921,deepak kalal increasing his haters in to a fan day by day,non-hate
922,tara bhai joginder oka chinal chutiye manishi paniki malina vadu,hate
923,joginderbhoompak ayaega deepak tante ni pellam puku padutavu,hate
924,deepak bhai is great great comedian,non-hate
925,tweetenduku kumail najaini gudda chaal rangaluo vuntadhi kumail enduku mi amma lipstick vunthadhi,hate
926,sofia vegara has a voice like notlo modda erikupoyi vuntadhi,hate
927,ee manishi nirupinchadhu thanu andari entarin cheyaladhu emi bothulu vadakundha,non-hate
928,i hate karan because thana mokkam naku shit kurchuvalani korika,hate
929,karan johar asla modda levadu anta andukey ammaila mataladuthaane vunatru,hate
930,richard jerkins na gudda ni pellam notlo pettali,hate
931,taracy morgan modda oka murgi poyindhi vuntadhi endukuey ante karey gah vuntadhi,hate
933,tom hanks gudda kompu kodutar manachigah koduko modda,hate
934,shaq modda ante vunnavu ra kevin neku enduku affair,hate
935,gangam style moddalo paata naku mic mokam dengali anipistahdi,hate
936,drake nuvvu daridam gah vuntavu entha ante cude oil chetha inka baguntadhi,hate
937,simon cowell u my frnd nuvvu oka paniki malina modda vi enduku putavu telidhu,hate
938,sia vinadaniki notlo motham petta vuntau padutadhi,hate
939,jennifer aniston nuvvu andari gudda nakutavu,hate
940,courtney oka poru lanja andari modda nakudhi,hate
943,chandra babu oka donga na koduku ap ni naisham chesthadhu,hate
944,roja lanja blue films cheshukonedanvi nuvvu mp enti,hate
945,roja ninnu choosthey nak guddalo edo nakuladhi nuuvu ni barrey guntu,hate
946,jagan policy amma vadi dabbulu veya nanna guda lo nalugdham,hate
947,jagan valla ma jevuthalu modda kuripoyindhi nuvvu kukka modda laga chasthavy lanjakodaka,hate
948,kodali nani koja na koduku mla lankadhnulu okati levu,hate
949,naku asla courtney cox nachadhu thanu thana moddalo overacting pussyhoecourtney,hate
950,ananaya panadey vi nimma dabbalu lanti payalu,hate
952,ee chetha vedava ku copper dam ante emito telusuna st adi cheppamanandi,non-hate
953,veedu jagan sanka baga nakeshadu,hate
955,me janasenaki anta seen ledu aruna medam,non-hate
956,jagan lanjagadu e meeting lo emi matladuthado vadike theliyadu,hate
957,ycp party roudy rajyam tharimikotali,non-hate
959,babu kcr meeru congress thothu modi sir gurchi maryadaga mataldandi,non-hate
960,meri nv appu tiskoku central government nunchi inka cooperation loan tiskoni lakhs crores aapu lo undi telangana state please stop free free schemes,non-hate
961,​raani pramadam raani no problem next tym bjp ki vote veyandi telangana prajalara,non-hate
962,​trs nu odinchedhi only bjp,non-hate
963,​debate la lo paalgone trs naayakulaku edhutivaarini maatladaneeyakapovadam samskaaram kaadhu,non-hate
964,kcr trs party party,hate
965,louda trs,hate
966,bangaru telangana yevarikhi vachindhi ache din yevarikhi vachindhi,non-hate
967,sir meeru vastee alochinchadaanikeee chaala best future for our generation ee musali dhopidi politics poovali,non-hate
968,time waste sir jagan cheyalenidi meeru ela chestaru devudu kadu kada ap problem cheyavaddu,non-hate
969,niku oka cinimalu kotlu nikendukura annikastalu vidu sodi pedalaku yemievvadu maremi sestavu bayya,hate
970,meru gelvali jai jenasena pavankalyan sir,hate
971,gorantla madav issues side chyadaniki jenasena ni kelikaru yeppatu lane,non-hate
972,​pavan anna madagudu ra ani cheppa,non-hate
973,nuvu pulivendula ke rara pukaa,hate
974,first move doilogs api wife laki nayam chesi tavata nethulu cheppu babu partner ok,hate
975,​pawalagadi gorrelaki avesam thappa alochana ledhu,hate
976,jai cm jagan mohan reddy garu jai ysr jai ysrcp,non-hate
977,jai jagan verevallaku avakasam iste marala ap reddoche modalette ap develop kavatam kastam,non-hate
978,jagan kd no behavior is like thuglaq after some time jagan kd no will make capitals in ap jagan will ask modi to make capitals for india east west north south capitals,non-hate
979,study chesi kcr em pikindu velumundra ayina pm position lo undu that is modi,non-hate
980,desha ki pattina daridram modi,hate
981,elaanti sannasi matalu vinalani maku ledu mundu sari ga matladu mariyada ichi puchukovale anthegani telangana slag ani memilage matladtha mante vere partila telanganollu kada,non-hate
982,​kcr ni cm chesindi ilanti sannasi panulu cheyadanikekad cathakakapothe musuko,non-hate
983,​veedu jagan sanka baga nakeshadu,hate
985,​trs party lo telangana kosam poradina valle unnara poratam ki vyatirekam ga unnollani ministers ala chesinarugurivinda ginja ki kinda unna macha kanapadadu,non-hate
986,thu bandhu lu andaru rythulaku echinattu andaru dalithulaku dalitha bandhu estarameeru m ina mee own amount estunnara ma amt make estunnara,non-hate
987,​chandrababupedayana patra postunara cgantalu jagan titunte matlaadatara,non-hate
988,​jai anitha akka jai tdp jai telugu desam jai lokesh jai tdp,non-hate
989,​venkata reddi yadava ninnu cheap gah vallu kanapade thantharru take care,hate
990,me koduku ki eva ra poka,hate
991,rayalaseema leders povali jsp ravali pavan kalyaan garu real indian real god jai bheem,non-hate
992,jagangadu povali pawankalyangaru cm khavali rastam bagupaddali jai janasena jai pawankalyan,non-hate
993,meeku assalu em matladalo kuda telidhu edo vaagaali vaaguthaaru nv pedda leader vi nv cheppindhe nijam enduku paniki maalina debate lu,non-hate
994,ycp party roudy rajyam tharimikotali,hate
995,kodali nani jagan sanka baga nakeshadu,hate
996,janasena vallaki subject ledu ye debate aina okate note,non-hate
997,​ycp rip jai janasena jai pspk,non-hate
998,​ lakh crore apu cheshadu yekada poyayi sigu leni lanja,hate
999,​wow pawan jee what a idia ur running mak govt with movie style most hilight comedy of pawan garu enjoy jai hind jai jagan,non-hate
1000,niku family undi gah ra jagratamma venkata,hate
1002,the great honest true leader pawan kalyan sir cm kavali nyayam jaruguthundhi ap prajalaki sir,non-hate
1005,meeru chaalaabaagaacheppaaru brother,non-hate
1006,miru enta mothukunna prajalu mararu elections vaste tisukoni vote vestaru,hate
1007,jayaho janasainiks oka lakadi gadi gurinchi time waste chesukovaddu prajalu chepputho kotte rojulu daggaralo unnayi,hate
1008,super tammudu,non-hate
1015,mike tyson tho puri tho cheyadam vijay luck,non-hate
1016,telufu interview lo hindi comments enduku chupistunaru ma cinema antha fame aindi ani chepukodanika,hate
1017,mekalu flower thinna tharutha vijay deverakonda anna himalaya vellipovali,hate
1018,ananya baaga kathal padthundu enthaina bollywood kada,hate
1019,charmi ki edo ayindi navvaleka sachipothundi,hate
1021,suma athi thelivi vd haadi attitude promotion motham dobbesindi,hate
1022,charme intha over action enduku chestondi,hate
1023,sodi akkuvuga undi matter ledu doubt hey,hate
1024,charmie chiraku teppistundi,hate
1025,e roju e liger movie chusa uttar flop movie jeevitham meedha virakthi puttipoyindhi,hate
1026,suma garu koncham thagichuko,hate
1027,em kanapadathunnayi bokka,hate
1029,anna miru thaggadhu miru thopu mi tharvathe avaraina,non-hate
1032,mega star ane person definitely evadu oppukunna oppukokapoyinaa inspiration to many people long live sir,non-hate
1033,ilanti avamanalu chiru ni megastar ga nilabettai he is our inspiration love you chiru,non-hate
1034,dear chiranjevi sir meku yavaru blame chasina ne kosam memu unamu ee pranam unanta varaku,non-hate
1035,ippatiki mee anna vinayangaa chethulukattukoni nilabaduthunnadu,non-hate
1036,aa yedawa daddamma yewadoo kaadu mohan babu,hate
1037,director skill mida prati pakodi gaadu comment cheyadamey comments lo judge laaga,hate
1040,megastar tho dutt garu movies theesthey industry hitscharan janvi tho thwaraga jvas thiyyandi dutt garu,non-hate
1041,ippudu unna vedavalaku yemi telusu anna chiru,hate
1042,father constable ani cheppukodaniki siggu padutunnadu adava maradu inspector ani cheppukuntadu nelantolla valle mega family entha edigina evadiki respect ledu,hate
1043,ikkada konni snow kukkalu morugutunnay,hate
1044,aapandi ee dabba maatalu chiranjeevi garu good and inspiration for upcoming aspirants of film starshe never spoke as degrade actor of like uevery time u ur pk brother bringing his name into controversial issues,hate
1045,nuvvu pedda dramagadivi,hate
1046,mammalni inspire avvamantunnaav mari nuvvenduku inspire avvalekapoyaav antha goppa vyakthini intlo pettukuni nuvvem peekaav aayana peru use chesukuni chillara poguchesukovadm thappaa,hate
1047,self dabba yekkuva indhi nagababu nevu ne bussu lu thoo,hate
1048,vadu vani over action rod la undi movie the great tyson garini joker ni chesesaru,hate
1049,motham cinema podaniki ne over action matala valle kondanna,hate
1050,bokkalo maddagudu,hate
1051,konda gani over action kompamunchindi,hate
1052,indiani shake cheyatam api poori di when cheyyi rasam vostsadi,hate
1053,industry lo inni movies flop ayinay vijay puri ante enti antha lokuva meeku thaathalu thandrulu frame tho vasthe ne movies chusthaara,non-hate
1076,i think ycp ki election last anukunta,hate
1078,ee country lo evaru ekkadikaina vellacchu ex minister adhi thelusuko mundhu neeku mind dobbinatluvundhi ministry pongane,hate
1080,nani garu meeku ciggu vundha mundu paripalana cheyandi nanigaru,hate
1081,election lo odipothe orey kodali kodini kosinatla kostaru gurtu pettuko,hate
1082,election lo odipothe orey kodali kodini kosinatla kostaru gurtu pettuko,hate
1083,neku ministar padavi poiana sigguledu nanigaru,hate
1084,veedoka sankara jaati santanam malli veedu matladdam,hate
1086,vache election tarvatha nuvu ekkadiki veltavo chudam go to assam sir,hate
1087,orey niku siguledu ni kendhukura chandrababu hero raorey niku siguledu ni kendhukura chandrababu hero ra,hate
1089,orey appudaina navvutu matladav ra broker na kidaka,hate
1090,yadavalu andaru mla la,hate
1091,reay nani nuvvu first respect ecchedi nersukoo nuvakka mla nikokka minister padavi nikundi next neki mla padavi untundoo emo chuskoo nuvvu pawankalyan anna gurunchi matladtava yrs back nuvvu yevoroo ani evvariki teledu nuvvu weast gadivi ntr gurinchi chandrababu gurinchi andaru weast ha mee ysrcp mka matramena great chupistaru ley next election lo,hate
1093,veedu eppatiki maradu,hate
1097,ntr kadhu bey ntr garu give respect,hate
1098,power ni misuse cheyani leader dayakar rao garu,non-hate
1103,lakshmi paravathi bsthapitam cheste mi cbn telagana lo bustapitam chesadu tdp ni,hate
1106,vadanam kavalanta daniki ntr ne burst patinchindi sexiest,hate
1109,janasena evarithoo kaliste vallu sanka naki poddi,hate
1113,bjp malli ade double game maatladutondiamaravathi meeda,hate
