S.No,Comments,Label
HATE_1451,buthula saka mantri,hate
HATE_1452,kojja mundu supply epinchandi,hate
HATE_1461,mahidhar bro meru chala genuine person,non-hate
HATE_1463,ippatiki times chusaanu what a humorous innocent dialogues superb,non-hate
HATE_1464,director di super comedychildish behaviourwhen he said wrong answerquestion ardam avaledu ani,non-hate
HATE_1470,flop vachina directors ki hit yevvadam ntr anna ki sontham,non-hate
HATE_1471,ekkada memu ntr fans evaru bayapadatam ledu enudkante hero director ki freedom ivvali adi ntr ki and k siva ki chala good bonding undi,non-hate
HATE_1472,balayya oka vedhava anukune vallu oka like veskondi,hate
HATE_1473,slient pettu bangaram phone,hate
HATE_1474,tension lo silent lo pettadam marchipoyindhi,non-hate
HATE_1475,naresh pottigane vundura famous ga vuntav,non-hate
HATE_1476,deenni ycp lo ki raanivvakandi,hate
HATE_1477,td janrdan cbn binami eddaru dongale avasaraniki vadukon vadilese cbn tdp partty,hate
HATE_1479,aada paduchula usuru thagili yellow party nasanam kavali,non-hate
HATE_1480,e phone baya inta clarity vachindi video adi theatre lo,non-hate
HATE_1481,neelanti vallu valla nijame ayina devunuki avamanam jarukutundhi,hate
HATE_1482,rk comedian ikkada ka paul is very confident,non-hate
HATE_1483,idream nagaraju interview with bandla ganesh tarvata anta level comedy interview ide malla,non-hate
HATE_1484,nenu cheppinappudu counter ivvandi,non-hate
HATE_1486,andaru mla lu elagay undali thanq mla garu,non-hate
HATE_1487,veellandhari kante rsp sir eetala sir best leaders,non-hate
HATE_1488,im enjoyed a lot andi a show chusina intha fun undaka povachu good entertainment keep it up bros,non-hate
HATE_1489,full entertainment ayindhi revanth reddy maryadaga matladina thittinatte undhi superooo super,non-hate
HATE_1490,songs kosam mv ki vellochu super unnayi songs,non-hate
HATE_1491,venkatesh gaari mature quality entante ippatiki new born star laaga kamal gari meedha unna fanisaani choopistunnaru salute to u venkatesh garu,non-hate
HATE_1492,ekkada bro nuv ee movie chusindi,non-hate
HATE_1493,ye mobile lo thesav bro clarity bagundhi,non-hate
HATE_1494,the courage to be disliked ee book summary cheyyandi anna,non-hate
HATE_1495,thank you bro roju mrng walk ki velletappudu ne video vinta u r adding lot of value for me and my tym,non-hate
HATE_1496,chalabaundi video correct time lo release chesaru hattsoff to your voice and motivational information,non-hate
HATE_1497,venky mama ekkaduna positive vibes anthe,non-hate
HATE_1498,cheppav nijame bro,non-hate
HATE_1499,true naa jevithamlo jarigindi,non-hate
HATE_1500,enthaina paatha cinemaalu paatha cinemaale,non-hate
HATE_1501,epudu varaku upload chysina videos e video a clarity ga vundi,non-hate
HATE_1502,movie block buster mass jathara bomma daddarillipoyindi in theatres super dooper hit,non-hate
HATE_1503,disha nendutalade petrol bunk lo cctv futage tapa vera aemi avedence ladu valani encounter caseru velani cheyandi apudu tapa naku matram tapa police la pina namakamlad,non-hate
HATE_1504,𝙰𝚝𝚝𝚎𝚗𝚍𝚎𝚗𝚌𝚎 𝚐𝚞𝚛𝚒𝚗𝚌𝚑𝚒 𝚞𝚗𝚝𝚎 𝚋𝚊𝚐𝚞𝚗𝚍𝚞,non-hate
HATE_1505,lo second di tisi ki ki madyalo pedite avtundi order saripotadi,non-hate
HATE_1506,same nen ade anukunna,non-hate
HATE_1507,okkati kuda thiyanavasarm ledhu,non-hate
HATE_1508,yela vastai ilaanti idea lu…,non-hate
HATE_1509,table reverse move cheyyali okasari,non-hate
HATE_1510,unnai kada andulo okati teyali easy,non-hate
HATE_1511,baga chepevu talli ne matallo nayam unnadhi,non-hate
HATE_1512,nenu ithae thinevadini inthsepu chudanu,non-hate
HATE_1514,asalu dance undhi chudu bro hats off antey,non-hate
HATE_1516,avasaram aite shaving kooda chestaaru prabuthyodoyogulu adi vaari istam,non-hate
HATE_1517,chinna vishayanni rajyantham chesthaventi manchi news collect cheyyi nuvvu,non-hate
HATE_1518,dani kanna mundu gym lantivi join aiyi slim avali apudu try cheyochu evanni,non-hate
HATE_1520,dantha prashant kishor plan trs valle malla reddy meeda attack chesinru sympathy kosam kavalane revanth reddy ni blame chesthunnaru inthaku mundu srinivas goud meeda daadi chesaru ani drama chesaru ippudu malla reddy vanthu,non-hate
HATE_1522,kinda paddakuda meeku emkaledu,non-hate
HATE_1524,bjp trs iddaru dosthlu le bayatiki ivanni dramalu,non-hate
HATE_1525,edhena manam echey goiram kcr non sense,hate
HATE_1527,cheppedhi em lekapoina ha hm ani anna parledhu vallatho matladali anthee,non-hate
HATE_1528,phone cut chesthey inka yavaritho mataladestham ani ami leka poina chepu chepu ani rod avtharu edhi fact,non-hate
HATE_1529,dharani badha padthunte naku nachatle e videos vdu,non-hate
HATE_1531,bjp strong fight chestundi good job jai telangana jai bjpmurkapu palanu tiseyandi,non-hate
HATE_1533,chala good newscheppavu anna kcr ni lopaleyandi kaleswarm project katti chalu andaru potaru kcrktrhareesh rao andru potarutrs party ne vnda du soniya gandhirahul gandhi ne vodalle modieka kcr familyyentha,non-hate
HATE_1535,madam sigupaduthundhi emaina guthochintlu undhi,non-hate
HATE_1536,meru battalu vesykovadam avasarama ra,hate
HATE_1537,edhe meeru ruling party valani target chesunte ani media channels vache valu,non-hate
HATE_1538,ktr chaala manchi gah hyderabad it ni devlope chesthunnaru,non-hate
HATE_1539,modi valla desam religion anni kottusasthundhi,hate
HATE_1540,rahul gandhi and lokesh pappu vallu,hate
HATE_1541,jagananasainyamfromchatla,non-hate
HATE_1542,zin ping gadini corona vachi pothe anni set auvtai,hate
HATE_1543,rey shaik amar mee muslims ki ucha padthadhi bjp ante anduke prathi oka muslims bjp ki against ga untaru mee muslims andaru okate unity untaru same mee laga maa hindus alochisthe,hate
HATE_1544,chillar party lu anne okkatyna modi ji ni next pm modi ji yogi baba ni,hate
HATE_1545,deniki paniki radu nithish become a chapraci to lalus kotubham,hate
HATE_1546,kim mama enter ithe war one side ea ega,non-hate
HATE_1547,​yuddham vadhu please for lokham lo shanthi vunchadhi,non-hate
HATE_1548,na bochulo tv news hmtv fake vedio,hate
HATE_1551,vaadu taagi vunnaduvaadiki entha cheppina kooda ardam kaadu,hate
HATE_1557,jagan oka pandi kukka gadu ap ni sankanakinchadhu,hate
HATE_1559,jagan oka erri puku gadu vadu vadi modalo paripalana,hate
HATE_1564,megastar antey adi em expression ra babucomedyactiondialoguesdance ayithey ika cheppoddu,non-hate
HATE_1566,ma ntr anna medhey memes chesthava ninnu origikichi dengutha ee post delete cheyakunte,hate
HATE_1569,bonda uma oka porambokuvadu,hate
HATE_1570,karan johar oka panikirani vedava manchi roles anni chetha actress ee ichi movie ni nasanamchestharu,hate
HATE_1572,bonda uma kukka esaga mafia king,hate
HATE_1575,ni pellam puku denugutha ma anna annavu ante,hate
HATE_1576,oka ammai vi ayundhi illu clean chesthunavu ani complain chesthava siggu techuko,hate
HATE_1577,kajal oka bitch naku modda dani notlo pettali anni vundhi,hate
HATE_1578,ee kalam ammailu ki dabbuli vunte chaalu anukuntaru,non-hate
HATE_1579,oka ammai vi vundhi natho argue chesthava puku mosukoni inti panulu cheyi,hate
HATE_1580,samantha oka trigubothu lanja chai lanti mogudu vadilesindhi,hate
HATE_1581,jai kodali nani meru oka dynamic leader,non-hate
HATE_1582,nen pedda payalu vunna ammailinu dengi bore kotudhundhi iamcomingforskinnygirls,hate
HATE_1583,desanaki oka nehru oka vallabahi patel vundali kani manaki oka shah inka modi lanti vallu dorikaru,hate
HATE_1584,pichi puku kukka na meddha nunchi leyi,non-hate
HATE_1585,ee video chusintarvatha mee meeda respect perigindi,non-hate
HATE_1586,ee ammai chala bagundhipade pade chudaalinipistundhi,non-hate
HATE_1589,tickets rates thagginchaaliappudey janaalu theatre ki vastaaru budget peruguthondhantey dhaanikkaranam producers e heroes budget north indian heroines valla staff ni mepaali ivvanni thadisi mopodavuthunnayi,hate
HATE_1590,hero lu remuneration taggisthe dil raju rates penchi collections motham mingesthadanta…funny fellow,hate
HATE_1591,telugu cinema lu content takuva buildup ekuva free ga download chesi chustam free ga,hate
HATE_1592,first ganesh anna chesina appulu and bounce iyna check lu clear cheyi,hate
HATE_1593,bandla garu miru cheppindhi correct ithe condom ni k petti kontava dhenikaina oka limit untadhi bandla garu,hate
HATE_1594,literacy rate unna kerala lo ne janalu gorrelu la unte migilin rashtrallo unna janalu paristhiti emito i feel ashamed being part of this type of public,hate
HATE_1600,allu arjun cinema ki pranam esatadu,non-hate
HATE_1604,sir arun kumar garu meeku hrudayapurvaka namaskaramulusir nenu kuda kapil chit lo chit one l vesanu chit purti ayipoyindinene kakunda ma brother cheta friends cheta kuda veyinchaanubut ippariki amont ivvatam leduamont adigite danilone fixid deposit cheyyamantunnaru consumer court ki velte baguntundaplz salaha istarani aasisunnanu,non-hate
HATE_1605,more than crore deposits in margadarsi … not even one depositor complain … nekenduku ra … go and talk about babai,hate
HATE_1606,soolu master of ap goda meda pilli,hate
HATE_1607,dramoji pedda ap ni nasamchesina vallalo veedu no,hate
HATE_1608,nee knoledge motham okka kulam okka partini meeda padi edavadanikee saripoindi vaallu nee intivaalani edina chesinaara durmargula panini divert chiiyadamkosam screen meedaki osthavu karma nuvve alochinchuko undavalli,hate
HATE_1609,rajasekhar reddy garu kadapa lo acres thesukoni assembly lo gola zarigina tharuvatha assined lands return echharugada appudu dhonga thanam chesi return evvata correct gadugada dheniki mereemantaru,hate
HATE_1610,vaalla chetilo vunnadi atyunnata vyavasta veellu asale brokers inka vadakam ela vuntundo chuseru ga,hate
HATE_1611,mari neethulu endhuku ra yadhava collection chasukoni galichanu anavu mari u are not law obedieing person sreeranga neethulu apu,hate
HATE_1613,ne okkadiki nyayam jarigindi kaabatti ysr neku devudu nuvu o pathi wrathavi,hate
HATE_1614,sollu apara re nee bochu telivi tetalu andhra pradesh bagu kosam cheyyara,hate
HATE_1615,siggu neethi leni,hate
HATE_1617,jagan dobbindi kanapadada neeku atineetimantuda,hate
HATE_1623,comments chadivi masthu enjoy chesthunna nenaithe,non-hate
HATE_1625,baga kastapaddav bro edit ki good keep it up,non-hate
HATE_1626,deenemmaa dabbulu unte darinapoye danaya tho cinema tiyyachu ani telisindi,hate
HATE_1627,bro vaadi height entha bro sampu kante comedy ga vunadu,hate
HATE_1628,veedevado grahanthara vasi kappa la vunnadu,hate
HATE_1629,edi kanna sampurnesh babu melu kadha ra babu expression baaga esthadu edu mv motham okatey expression,hate
HATE_1630,asalu aa mukham yendhayyaa kaneesam manishi laa koodaa ledhunag mahesh akhil tharuvaatha antha andhagaadini anukunnaadaa yendhi saamy,hate
HATE_1631,to be frankly host kante chay chaala humble ga react ayyaru really love his nature,non-hate
HATE_1644,aploasalucriminalskuvotlu vesinaapjanalaku√ sigguledhufirstaploundi ycppolicestationaploasalu policevarulayrunextlo untundiappolicevariki,hate
HATE_1645,asalu criminals ku votlu vesi na janalaku sigguledhu first,hate
HATE_1650,getup srini anna superbmiru ravadam chala santhosham,non-hate
HATE_1654,prajalu question cheyanantha varaku politicians mararu politics marav the great ap people,hate
HATE_1658,e video chusina tarvata ilanti manchi manushulu untara ani chala santhosham anipinchindi,non-hate
HATE_1660,e kurma bharataswatantra desaniki nizamaina geept ichchavu anna nuvvu desamloni prathivaadu garvapadela vundi,non-hate
HATE_1664,ettaa teesaru bhayyaacinema ni writingperformancemusicdirection everything is just classicthe best love story ive watched till no,non-hate
HATE_1665,nag sir la natural ga evaru matlada lerunag sir super,non-hate
HATE_1666,nuv chesthe cinema appadam aithadi saaar,hate
HATE_1667,nuvvu chesunte flop ayyedemonani naa doubt,hate
HATE_1670,manchi pani iyendi neku rakapovadam,hate
HATE_1672,em manishulu ra miru bhimbisara manchi movie petukonie movie evaru chustaru ra nag,hate
HATE_1678,e rashtraniki jarige prathi anyayam gurinchi niswardhanga matlade ekaika vyakti meere saar,non-hate
HATE_1679,ma city lo every km lopala wines vnayi last years nundi licences ela padithe alaa evhesaruiast elections lo tdp ki vote vesinanduku nenu chala badhapadatananu,hate
HATE_1680,me knowledge ku salute sir me lanti vallu ilantivi appudappudu media mundi cheppandi,non-hate
HATE_1683,geniune banner and andharu chala hardwork chestharu,non-hate
HATE_1684,meeru cheppindi nijam chesaru hanu garuaa nijaanni nen e roju theatre lo chusanu no mobile light was on during the movie timekudos to u,non-hate
HATE_1685,em confident sir movie eeroju chusa meeru movie gurinchi cheppindhi chala thakkuva sir movie extraordinary ga undh,non-hate
HATE_1686,vishal chandrashekhar aa bgm endhira saami edipinchesaav,hate
HATE_1687,hanu raghavapudi love story ante super immersive ga untadi,non-hate
HATE_1688,super comidy mi cinima hit kavali,non-hate
HATE_1689,ery pappa la tho comedy very pappa la uanttadhi dhodhu dhodhey,hate
HATE_1693,ycp vunnatha varaku andhrapradesh paristhi enka diga jaaripotaadi vaalu leaders kaadu maha vedava lu okarini minchina varu okaru,hate
HATE_1694,shem gari manasu doche untadu goratla madhavudu promotion confirm deputy shem poste,hate
HATE_1695,goppa goppollu ap nundi parliament ki vellarumaa telangana chala betteranna maa telangana lo dikkumalina video samskruthi inka rale,hate
HATE_1699,elanti valanu encourage cheyadam media valu tappu veeri mida government charyali tisukovali naku telisi jatakalu emi vundaavu ani medhavlu chala mandi chepparu public nu cheating chestunnaru,non-hate
HATE_1700,miru eppudu chanipotharu swamy,hate
HATE_1702,yogi cinemaa muhurtham pettaduu adi flop avuddani teliyadu raa maidapindii,hate
HATE_1703,babu gogineni sirveedu inka marala please evarikina choopinchandi please,hate
HATE_1704,mundhey potharu ani telsinapudu muhurtham pettina yogi mve flop ani vaallaki cheppadam nek telidha,hate
HATE_1705,cheating cheyadam kante coolie pani chesukoni bratikite chala happy ga vuntundi mi lanti vari matalu mudhanammakalu vundevaru nammutaru,hate
HATE_1708,mouli anna content vere level,non-hate
HATE_1709,tammi nuvvu benz car kone stage ki asthavneelo a kasi n talent rendu unnayi all d best,non-hate
HATE_1710,best laddu lags pilla award goes to mouli mama,hate
HATE_1711,bro part cheyandi bro chala rojula taravata baga navukunanu,non-hate
HATE_1712,nenu ippudu hospitallo vunna nevalle navvi navvi chanipoyanudoctor treatment chesthunadhujust kidding,non-hate
HATE_1716,chillara vedhavalu ruling and ruined the state andhrulu andhuly enjoying for their overenthusiastic attitude sani dapurinchina rashtram,hate
HATE_1723,eppatiki oka times chusa kavacchu ee scene kani prathisari adhe feel adhe goosebumps raviteja acting ki aa voice lo base ki rajamouli direction ni dominate chesina one and only hero mass maharaja,non-hate
HATE_1724,nijamga chala natural comedy idi venu madhav gaari acting super,non-hate
HATE_1725,venu madhav lanti comedy evaru ceyyaru i am very very missing venu madha,non-hate
HATE_1736,saar k bayam chicchukocchindi anduke peg esukoni vachhi loda loda notiki vacchindi vagutunnadu,hate
HATE_1740,intaki rahul evadabba sir indirect ga congress rahul gandhi ki hint istunda kalsipodamani,non-hate
HATE_1742,blockbuster hit aindhi movie nikhil saab acting excellent bollywood lo already dhummu leputhondhi,non-hate
HATE_1743,movie lo content chala bagundi evvadu apaledu movie ni dilraju kuda,non-hate
HATE_1744,dil raju cheedapurugu tollywood ki tollywood karan johar ee dil rajuravi teja krack movie ni kuda elane tokkesadu,hate
HATE_1745,nikhil annaki ye saport lekunda mass hit kottaadu movie maathram super,non-hate
HATE_1748,karthikeya movie is block buster and story oriented karthikeya movie ki screens ivvakapote next nunchi dilraju movies anni boycott cheyyali,hate
HATE_1749,dhil raju manchi cinemal ki alaane chesthaadu last time krack movie ki alaa chesaadu appudu krack yegisi yegisi thannindhi eppudu karthikeya dhorlinchi dhorlinchi thannuthundhi so anni musukoni manchi movies ni encourage cheyyi,hate
HATE_1751,nikhil ni support chyyandi manchi manchi scripts meeda work chstnnaru,non-hate
HATE_1752,dil raju cinema ban chestam from degree college group students and antha tamil rockers paniki malina rajuga,hate
HATE_1753,dilraj pani aiepoedi enka selav enka anni rojulu bye bye ankul,hate
HATE_1756,nuvvu nijamgaa nippu the voice of truth anipinchaav thammi,non-hate
HATE_1763,evala takkuva theatres se repu chudu double avtay mamuluga ledu movienext level gopichand sahasam movie reference undi,non-hate
HATE_1770,ilanti panikamalina vallanu interviews cheyakandi plz,hate
HATE_1772,ilaa sollu cheppi kaanichestunnadu,hate
HATE_1773,mottanaki neeku correct mogudu badaleswari ya,hate
HATE_1774,komatreddy garu telangana kosam padavini rajinama chesi niraahaara deeksha chesina leadrs lo okkaruevery one respects him,non-hate
HATE_1777,rk garu mee questioning bagundhi but cm ni or central minister ni adagalsina questions aduguthunnaru overall its a very good discussion my vakheel saab thopu ayana maata muchata vignaanam chaala superb way to go my mla,non-hate
HATE_1794,thq sirchalla chakagaa chayparuu,non-hate
HATE_1795,krishnarao garu episode marichipoyara viveka resighnation kcr bypole time enduku e dabba kaburulu,hate
HATE_1796,waste interview vunnappudu oka maata lenappudu okamata,hate
HATE_1797,kvp ki telusu jagan wtlanti vaado anduke doiram jarigaadu karma emitante ap prajalake teliyatam ledu,hate
HATE_1798,jagan ni poguthunnava leka mingutunnavaindirect ga jagan secret lu ani cheptunnav,hate
HATE_1812,minority ayithe vadhileyaala vaallemayina nawab laa vaallakemayina kommulu molachaaya vaallemayina swargam lonchi oodipaddaara minorities ki ee special treatment endhiraa,hate
HATE_1813,note this point minorities kabatti vadileyandi ranakeeyanakula ilanti appeasements valle ivaala minorities jaripe dhamana kanda lo majority people bali avtunnaru,hate
HATE_1814,absconding nayeem and madhav reddy relation gurinchi prathi mata fake cheputhunnadu telusu kani abadham cheputhunnadu,hate
HATE_1815,paritala nu nuvve sampinavu raa nennu gaali vaana devudu sampeedu,hate
HATE_1816,assaminchani suryudu ma paritala ravanna champi chindhi nuvu nikodukey andukey ni maranam uhathitham,hate
HATE_1817,niku sambhamdam leda anduke ni shavam kuda dorakakunda chesadu god,hate
HATE_1818,mahanu baava ela kannavayya ee basmasurani,hate
HATE_1820,evaru adigaruu raaaaaaaa ninnu,hate
HATE_1823,rayalaseema simham paritala ravi telugurashtrala devudu ntr but family members of both have utterly failed to carry the legacy of these both in their respective range and categories,hate
HATE_1827,johar ravanna ilanti lavada politics ki meelanti powerful leaders asalu unte okkokadu darilo undevadu,hate
HATE_1828,bro mee anchoing chala chal chala decent gaa untundhi,non-hate
HATE_1830,ravi anna oudi ounte nani vamsi anil kumar ambanti lanti vaalu noru lepevaru kaademo,hate
HATE_1832,mohan babu oppukunna oppukokapoyina chiranjeevi peddankanni vachchina gouravam m taggipodu,hate
HATE_1834,maa nagababu garu is great person devudu eppudu meethone vuntaru sir,non-hate
HATE_1835,chala baga cheparu nagababu sir help chesena chepukoru meru brothers kosam baga cheparu,non-hate
HATE_1836,rajakeeyam lo nenu miku full opposite kani miru mee brothers gurinchi chepthunte na kallu chemarchayi nagababu garu really love you,non-hate
HATE_1839,rk garu neku interview cheyadam rakapoty miskuni veray vallaku chance evvandi niku respect evvadam teledu,hate
HATE_1840,papam suri ki chala badha vundemo anduke ane sarlu attack chesadu,hate
HATE_1841,sethamma vakitlo serimalle chettu nenu th lo unnappudu vachindhi nen times chusna ade the best movie nadi,non-hate
HATE_1842,anduke meeku devudu jabardasth show iccharu varun tej ki anni hits iccharu,non-hate
HATE_1843,orange movie epatiki chusina kothaga untadhi ndhuko thelidhu i love to watch dat movie,non-hate
HATE_1844,guruvu garini kalavalekapoyanu ane chinna baada kakapothe aayana puttina roje nenu puttanu naku adoka santhosham dasari garu vunte ey maa elections kani kotha talent vunnavalani kani gurthinchi avakaasham ichevaalu,non-hate
HATE_1845,guruji meeku evvaru saatiraaru johar dasari gaaru,non-hate
HATE_1846,dnr sampadinchalani anukunte today ciniema field lo ewaru sariporu mahanubavudu daring man,non-hate
HATE_1847,manchi manasu havabhavalu ela kavalante ala palikinche kalamathalli mudhuu bidaalu druvatharalu nela ralaru andhulo oka mudhuu bidaa dhasari garu,non-hate
HATE_1848,cinima vallu mottam e episode chusi aena buddi techukondi tickets rates vishayam lo,hate
HATE_1849,dnr still old school kalam tho marakapote evaru aina kala gharbham lo kalisipotaru,hate
HATE_1850,na guruv gariki padabhi vandananalu,non-hate
HATE_1852,ni bondha ra ntr records badhalu kottava,hate
HATE_1853,marri nevvu am i pekavu,hate
HATE_1863,mallanna tappudu darlo vellaku oka melu jarigetappudu konni vishayalu oppukovali mana paruvu manam teesukundam entavaraku correct kcr bathroom biryani gurinchi telisi kuda chala mandi peddalu niraharadeeksha ni munduku techaru kada jarige melu telusukoadi andariki manchidi,hate
HATE_1864,ambedkar gari gopathanam gurinchi chepaka ne carector nachindhi mallana good,non-hate
HATE_1865,antha vadaina kani awaru aina sare antha dabbu una time osthe anthe only good karma can help you in delaying things anthe,non-hate
HATE_1870,ntr film same lakshmi garu chepinattu tisaru real story am extra topics add cheyaled jai rgv ntr story mothm lakshmis ntr lo poorthi ga chupincharu jai ntr,non-hate
HATE_1873,devudu lanti manishini cheda dobbataniki anni times kalavataniki try chesava niku dandam thalli god lanti manishi life history lo oka mark laga unnav,hate
HATE_1875,mahanati nuvvu swardaparuraluvianta gowravam unte kuturilamarochukaani kattukonna mogudini vadhilesavumodati mogutu kooda vadelesavswardam kosam ntr garini mabbipatti manchidanila natinchi mosamchesav,hate
HATE_1876,sir meru elanti varitho interview cheyaddu,hate
HATE_1879,asalu nuvu kothavallani baga support chestavu anna ni movies baga adali,non-hate
HATE_1880,interview chesina murthy gariki naa abhinandanalu chaala samskaaram ga chesaru,non-hate
HATE_1882,ee madya kaalamlo vochina films lo naaku idhi baaga nachindi,non-hate
HATE_1883,e movie gurinchi okkadu negative ga matladina vaadu terrorist ayyi undali,non-hate
HATE_1886,kcr vi anni commission padhakaale kaaleswaram praject kcr ku atm kaaleswaram praject etthipothala padhakam kaadhu thippipothala padhakam raithu bandhu raabandhula bandhu vandhala ekaraalu unnavaariki raithu bandhu esthunnaadu kcr,non-hate
HATE_1888,nv sakkaga matladutunava ktr trs lo unnavallu evadu sakkaga matladuthunduuu,hate
HATE_1889,telangana vachinde telangana students chanepovadam vallameto kadu trs,hate
HATE_1890,sollu vagadam ee sollu brothers komatireddy rajagopal garu nd co bro alavatu ktr very dynamic nd briliiant leader in india,hate
HATE_1891,doralu antene chathagalu west doralu siguledhu kkr and kcr,hate
HATE_1893,rajgopal reddy sir miru super,non-hate
HATE_1894,trs donga party,hate
HATE_1895,rajagopal neeku ethics levu,hate
HATE_1896,ktr baluputo matladutundu,hate
HATE_1897,aagandi ktr garu mundundi musalla pandaga,hate
HATE_1898,arey ktr motham dochukondira me family nasnam aipotharu ra sochi andi homa lu cheyandi… me family nasnam aipotharu,hate
HATE_1899,hloo ktr garu meru rajagopal reddy garini peru petti piliche antha thopa nuvv,hate
HATE_1900,nuvu am speaker ra babu,hate
HATE_1901,ktr gudha ninda pogaru,hate
HATE_1902,mukuu neelaku raayi raja,hate
HATE_1903,oreymeepartychattaparty trs,hate
HATE_1904,ttr dongal trs pata leaders,hate
HATE_1905,jai ktr anna,non-hate
HATE_1906,ktr nuvu ni party lo valasalu avuthai jagatha mundhu mundhu nuvu ni thandri mathatrame migultharu nunu chepindhi jaragakapothe voche election lo nike na votu,hate
HATE_1907,rs revanth batch chi chi congress ki deposit kuda radhu,hate
HATE_1911,devi nagavalli oka dogga munda media medha cheddha peru testhundhi,hate
HATE_1913,chinna herola mida chinna cinemala midane mi prathapamdevi is now playing lady victim card against viswak annawe all public should support himstay strong annawe are therewe will make ur movie to go well,non-hate
HATE_1915,tv moddalo ethics nijathyi ni memu pattinchamu,hate
HATE_1916,devi anni adugu bed room lo evaru first,hate
HATE_1919,lanja rhea thana acting appi nijam opukvaali thanu thana moddalo acting,hate
HATE_1920,rhea dabbu kosam mosali mahesh bhatt modda chickindhi,hate
HATE_1921,deepak kalal increasing his haters in to a fan day by day,non-hate
HATE_1922,tara bhai joginder oka chinal chutiye manishi paniki malina vadu,hate
HATE_1923,joginderbhoompak ayaega deepak tante ni pellam puku padutavu,hate
HATE_1924,deepak bhai is great great comedian,non-hate
HATE_1925,tweetenduku kumail najaini gudda chaal rangaluo vuntadhi kumail enduku mi amma lipstick vunthadhi,hate
HATE_1926,sofia vegara has a voice like notlo modda erikupoyi vuntadhi,hate
HATE_1927,ee manishi nirupinchadhu thanu andari entarin cheyaladhu emi bothulu vadakundha,non-hate
HATE_1928,i hate karan because thana mokkam naku shit kurchuvalani korika,hate
HATE_1929,karan johar asla modda levadu anta andukey ammaila mataladuthaane vunatru,hate
HATE_1930,richard jerkins na gudda ni pellam notlo pettali,hate
HATE_1931,taracy morgan modda oka murgi poyindhi vuntadhi endukuey ante karey gah vuntadhi,hate
HATE_1933,tom hanks gudda kompu kodutar manachigah koduko modda,hate
HATE_1934,shaq modda ante vunnavu ra kevin neku enduku affair,hate
HATE_1935,gangam style moddalo paata naku mic mokam dengali anipistahdi,hate
HATE_1936,drake nuvvu daridam gah vuntavu entha ante cude oil chetha inka baguntadhi,hate
HATE_1937,simon cowell u my frnd nuvvu oka paniki malina modda vi enduku putavu telidhu,hate
HATE_1938,sia vinadaniki notlo motham petta vuntau padutadhi,hate
HATE_1939,jennifer aniston nuvvu andari gudda nakutavu,hate
HATE_1940,courtney oka poru lanja andari modda nakudhi,hate
HATE_1943,chandra babu oka donga na koduku ap ni naisham chesthadhu,hate
HATE_1944,roja lanja blue films cheshukonedanvi nuvvu mp enti,hate
HATE_1945,roja ninnu choosthey nak guddalo edo nakuladhi nuuvu ni barrey guntu,hate
HATE_1946,jagan policy amma vadi dabbulu veya nanna guda lo nalugdham,hate
HATE_1947,jagan valla ma jevuthalu modda kuripoyindhi nuvvu kukka modda laga chasthavy lanjakodaka,hate
HATE_1948,kodali nani koja na koduku mla lankadhnulu okati levu,hate
HATE_1949,naku asla courtney cox nachadhu thanu thana moddalo overacting pussyhoecourtney,hate
HATE_1950,ananaya panadey vi nimma dabbalu lanti payalu,hate
HATE_1952,ee chetha vedava ku copper dam ante emito telusuna st adi cheppamanandi,non-hate
HATE_1953,veedu jagan sanka baga nakeshadu,hate
HATE_1955,me janasenaki anta seen ledu aruna medam,non-hate
HATE_1956,jagan lanjagadu e meeting lo emi matladuthado vadike theliyadu,hate
HATE_1957,ycp party roudy rajyam tharimikotali,non-hate
HATE_1959,babu kcr meeru congress thothu modi sir gurchi maryadaga mataldandi,non-hate
HATE_1960,meri nv appu tiskoku central government nunchi inka cooperation loan tiskoni lakhs crores aapu lo undi telangana state please stop free free schemes,non-hate
HATE_1961,​raani pramadam raani no problem next tym bjp ki vote veyandi telangana prajalara,non-hate
HATE_1962,​trs nu odinchedhi only bjp,non-hate
HATE_1963,​debate la lo paalgone trs naayakulaku edhutivaarini maatladaneeyakapovadam samskaaram kaadhu,non-hate
HATE_1964,kcr trs party party,hate
HATE_1965,louda trs,hate
HATE_1966,bangaru telangana yevarikhi vachindhi ache din yevarikhi vachindhi,non-hate
HATE_1967,sir meeru vastee alochinchadaanikeee chaala best future for our generation ee musali dhopidi politics poovali,non-hate
HATE_1968,time waste sir jagan cheyalenidi meeru ela chestaru devudu kadu kada ap problem cheyavaddu,non-hate
HATE_1969,niku oka cinimalu kotlu nikendukura annikastalu vidu sodi pedalaku yemievvadu maremi sestavu bayya,hate
HATE_1970,meru gelvali jai jenasena pavankalyan sir,hate
HATE_1971,gorantla madav issues side chyadaniki jenasena ni kelikaru yeppatu lane,non-hate
HATE_1972,​pavan anna madagudu ra ani cheppa,non-hate
HATE_1973,nuvu pulivendula ke rara pukaa,hate
HATE_1974,first move doilogs api wife laki nayam chesi tavata nethulu cheppu babu partner ok,hate
HATE_1975,​pawalagadi gorrelaki avesam thappa alochana ledhu,hate
HATE_1976,jai cm jagan mohan reddy garu jai ysr jai ysrcp,non-hate
HATE_1977,jai jagan verevallaku avakasam iste marala ap reddoche modalette ap develop kavatam kastam,non-hate
